model_label,mean_inner_val_r2,median_inner_val_r2,mean_outer_val_bulk_r2,median_outer_val_bulk_r2,mean_outer_val_k1_r2,median_outer_val_k1_r2,mean_outer_val_pb_K2_r2,median_outer_val_pb_K2_r2,mean_outer_val_pb_K3_r2,median_outer_val_pb_K3_r2,mean_outer_val_pb_K4_r2,median_outer_val_pb_K4_r2,mean_outer_val_pb_K5_r2,median_outer_val_pb_K5_r2,mean_outer_val_pb_K10_r2,median_outer_val_pb_K10_r2
XGB Optuna,0.8221704805834237,0.8421915911497126,0.7656850689385851,0.8287789436718864,0.2513915720098917,0.2049000350674527,0.75929203265421,0.7806231706991835,0.8144691965025621,0.7978936781529106,0.8417252851032504,0.8578353276303659,0.8249995699299738,0.831392889193863,0.7869581587002492,0.8453438246058317
TabM Muon,0.8439113834216866,0.8589948587357283,0.7761171758732249,0.8387318259463672,0.267123006924832,0.2730282942384188,0.781507813527312,0.8250806263968619,0.8463770396617769,0.8514146153263176,0.8625502863403018,0.8854533293427622,0.8505952035437316,0.884384739842699,0.7767482666186005,0.8455175967734913
TabM AdamW+EMA,0.8487340142128121,0.8679611309347672,0.7824987200097954,0.8425736297667749,0.3301441480573903,0.301185204808186,0.8102206761036506,0.8428732593937701,0.8762759459950246,0.894017887699851,0.9002362260896173,0.9134937226086624,0.893959739468975,0.8952554601852575,0.8330200789408216,0.8824028539131643
DCNv2 Muon,-3953131.8867474175,0.6375652851618929,-487754.5184711095,0.4324493741499416,-77.84949597486683,-0.0772961197173467,-266.7096987844477,0.5093464905094253,-366.5109496658548,0.6184095771786291,-73.31737284634835,0.6424707188395613,-10.6432897645376,0.6943776076163012,-10.589514833616793,0.539963455982614
TabPack Muon,0.862380917605159,0.8754559421897175,0.7763820521263007,0.8388132045596026,0.3737166042716309,0.3418697415351114,0.8578078210367202,0.8879901482589831,0.9062456813022318,0.920254490124648,0.9240721718667442,0.9317929706438572,0.913666880284592,0.923029120339338,0.843057512949877,0.8967794598512205
