model,model_label,n_targets_ok,n_targets_fail,n_best_outer_val_k1,n_best_unique_outer_val_k1,n_best_outer_val_bulk,n_best_unique_outer_val_bulk,avg_of_medians_K,avg_of_means_K,mean_inner_val_r2,median_inner_val_r2,mean_outer_val_bulk_r2,median_outer_val_bulk_r2,mean_outer_val_k1_r2,median_outer_val_k1_r2,n_targets_k1_gt_0_4,n_exclusive_k1_gt_0_4,elapsed_sec
xgb_optuna,XGB Optuna,50,0,6,6,0,0,0.7196648208916012,0.7131393024833562,0.8221704805834237,0.8421915911497126,0.7656850689385851,0.8287789436718864,0.2513915720098917,0.2049000350674527,15,1,11334.3
tabm_muon,TabM Muon,50,0,3,3,1,1,0.7608132003200918,0.7308169361027592,0.8439113834216866,0.8589948587357283,0.7761171758732249,0.8387318259463672,0.267123006924832,0.2730282942384188,19,0,9850.2
tabm_adamw_ema,TabM AdamW+EMA,50,0,3,3,32,32,0.7882047314348153,0.7739761357759133,0.8487340142128121,0.8679611309347672,0.7824987200097954,0.8425736297667749,0.3301441480573903,0.301185204808186,19,0,21198.0
dcnv2_muon,DCNv2 Muon,50,0,5,5,0,0,0.487878621734864,-134.27005364494536,-3953131.8867474175,0.6375652851618929,-487754.5184711095,0.4324493741499416,-77.84949597486683,-0.0772961197173467,6,0,1790.5
tabpack,TabPack Muon,50,0,33,33,17,17,0.8169526551255264,0.8030944452852994,0.862380917605159,0.8754559421897175,0.7763820521263007,0.8388132045596026,0.3737166042716309,0.3418697415351114,20,2,31467.0
