target,tabpack,tabm_adamw_ema,tabm_muon,xgb_optuna
hsa-mir-363-3p,-1.0980311529324975,-0.8100978809526898,-3.298361327176483,-0.9223281634086152
hsa-mir-301a-5p,0.2239364168247539,0.1139575796262662,0.1571695761062757,-0.2861748978780947
hsa-mir-616-3p,0.067463897481301,0.0280709842555435,0.0239898986552903,-0.2753589214728495
hsa-mir-326,0.313200864882257,0.2223230482608581,0.2213568838478783,-0.0673800194477471
hsa-mir-449a,0.0469751988935165,0.0012626781833555,-0.0084567334384413,-0.0505832738027152
hsa-mir-3934-5p,-0.0616345554051473,-0.040967530024609,-0.0435724942248154,-0.0336914071109835
hsa-mir-99b-3p,0.1033850206705589,0.1025696876710168,0.0801500572627945,-0.0198481869312003
hsa-mir-125a-3p,0.329950316056574,0.1359857670826897,0.1247363769331676,-0.0109584744720867
hsa-mir-129-1-3p,0.2205222681646234,0.1535124465000052,0.1295259296394081,0.0063906830679038
hsa-mir-301b-5p,0.3949935020758454,0.4776912583906041,0.4243732509815668,0.0194283272338078
hsa-mir-624-3p,0.3050778742677552,0.3206916182492324,0.2822611382301158,0.0238618722224904
hsa-mir-503-3p,0.151962398246768,0.0947255424253828,0.1037955568720169,0.0553554170929553
hsa-mir-200c-3p,0.0470237483963774,0.0476421323524363,0.0135911983601001,0.0627854569024148
hsa-mir-124-3p,0.3407659367125574,0.3053541787544107,0.3001380213535888,0.077007061402196
hsa-mir-4731-3p,0.1728451020501856,0.151203601196477,0.1739629909405301,0.0835454455412265
hsa-mir-411-5p,0.2563952053481405,0.2229135848623061,0.0209262395565489,0.0889867869408624
hsa-mir-374a-3p,0.7168415783284793,0.5078342758997434,0.5316288598600107,0.1009349620731114
hsa-mir-887-3p,0.6758924360106566,0.4839559280815875,0.4538525643346544,0.1304450228523554
hsa-mir-340-3p,0.3297918412451898,0.2689374681394916,0.24344185236297,0.1445812090804316
hsa-mir-556-3p,0.1827648300028734,0.1530868504558812,0.1851519399139837,0.1592565593273862
hsa-mir-378a-3p,0.2025970216738224,0.1766015997682617,0.1674884124785559,0.1605313958330336
hsa-mir-15a-3p,0.2930102752481417,0.1152100916781579,0.1696719826616833,0.171525138471439
hsa-mir-592,0.1828247934830942,0.1354893923690373,0.1662646741707235,0.1717189794315793
hsa-mir-1180-3p,0.2312057581429503,0.2338772832425959,0.2371070744246599,0.1819211473915999
hsa-mir-301b-3p,0.283604587011773,0.2733111707913167,0.2515876990812022,0.1985589109099625
hsa-mir-382-5p,0.3642397016962311,0.3044298308113992,0.2256218236173244,0.2112411592249429
hsa-mir-590-5p,0.3429735463576655,0.2497754596341908,0.2545701041676669,0.2230465864596568
hsa-mir-135a-5p,0.1824715671993363,0.2175566969740353,0.1752092919672847,0.2454412728602506
hsa-mir-532-3p,0.3600418858112982,0.2979405788049729,0.2996893099343499,0.258533656887595
hsa-mir-1185-1-3p,0.5993031052148252,0.4384889533375008,0.443645014642707,0.26308267637033
hsa-mir-27a-5p,0.4276502136435448,0.3564065536594156,0.3539029315552757,0.2876836978168791
hsa-mir-125a-5p,0.2723782228375111,0.2568391774487614,0.2637954502467218,0.2885721113623631
hsa-mir-487a-3p,0.4466973135054082,0.3760117034001015,0.3903340057441549,0.2974822464894863
hsa-mir-642a-5p,0.3996850807260909,0.3148384689063968,0.3600070723177508,0.3219876262532689
hsa-mir-22-5p,0.4072490734530488,0.4007352778656611,0.4010631028153533,0.3479039109111538
hsa-mir-3180-3p,0.4906467767323704,0.4442557938809176,0.4775497887023235,0.4495179267740059
hsa-mir-299-5p,0.5266375870970128,0.4660691291754056,0.5129883039161425,0.4530417415780587
hsa-mir-22-3p,0.5510119763399177,0.5182344809270646,0.513065116592135,0.4701230864800976
hsa-mir-423-5p,0.3047471308181151,0.1777250975084356,-0.0506749611657333,0.486535793028563
hsa-mir-25-3p,0.5409323542813502,0.5092203950645563,0.5180278720291536,0.5402655225110519
hsa-mir-138-5p,0.6851816375182572,0.6296335323662403,0.6247174146735698,0.5747147815502729
hsa-mir-486-5p,0.7228831938065254,0.6697855571018245,0.6602502147414708,0.5788659196533106
hsa-mir-582-5p,0.6521860165099744,0.6296901123834093,0.6104547013642019,0.6358492650399858
hsa-mir-26a-5p,0.5448634882247168,0.5385879280127659,0.5691925306411525,0.6573460857828466
hsa-mir-18a-5p,0.7016501439196163,0.6956512277600655,0.6361991533898608,0.658770130144007
hsa-mir-369-3p,0.7524833076301223,0.7342079451781859,0.7261718775300526,0.7318715365865982
hsa-mir-495-3p,0.8391416448013116,0.8014558407311573,0.790656100697701,0.768318113766162
hsa-mir-708-5p,0.8353216904902598,0.8136120476799131,0.8075225587433736,0.8110873654801958
hsa-mir-142-3p,0.9058241917398988,0.8957716211604064,0.8901863615621846,0.8864581209559079
hsa-mir-20a-5p,0.9162642003465868,0.8951412358373707,0.7902235826274375,0.951327235277133
