config,n_targets,mean_bulk_val_r2,mean_sc_val_r2,median_bulk_val_r2,median_sc_val_r2,n_bulk_r2_gt_0.4,n_sc_r2_gt_0.4,mean_n_features
spearman,50,0.741896463743905,0.030866414494936534,0.8039083943221725,-0.019019871153039998,48,12,800.0
lasso,50,0.75050359021239,0.048015724913230355,0.8136303818556978,0.019125973967636902,48,12,527.84
elasticnet,50,0.7502492119955946,0.04858236617273465,0.813849423869168,0.02990207481073425,48,12,656.06
xgb,50,0.7516079095507301,0.04100344915852843,0.817295149225719,-0.00670733732788625,48,13,461.62
mi,50,0.7428551436661857,0.051520106563981365,0.8049727734641636,0.01083509723509735,47,12,800.0
lasso_xgb,50,0.7537739812151335,0.035786641171629024,0.8192519031329966,-0.0051266859761833206,48,12,909.86
lasso_mi,50,0.7519188979799778,0.040093122343261546,0.8130423854705093,-0.0043740496577245325,48,13,1229.34
elasticnet_xgb,50,0.7543797494629797,0.03255583486287219,0.8205782121129054,0.005041441233937294,48,13,1018.26
elasticnet_mi,50,0.7516982464199726,0.04451141984008919,0.8118224066815105,-0.006161146802257378,48,12,1315.18
