model,model_label,n_targets,mean_test_k1_r2,median_test_k1_r2,n_targets_gt_0.4,pct_targets_gt_0.4,n_exclusive_gt_0.4,exclusive_targets_gt_0.4
xgb_optuna,XGB Optuna,50,0.2208,0.1576,15,30.0,1,hsa-mir-423-5p
tabm,TabM,50,0.2263,0.135,13,26.0,0,
resnet,ResNet,50,0.1941,0.0945,14,28.0,0,
realmlp,RealMLP,50,0.1937,0.0889,11,22.0,0,
xgb_default,XGB default,50,0.1284,0.0629,12,24.0,0,
tabnet,TabNet,50,0.1628,0.0431,10,20.0,0,
dcnv2,DCNv2,50,0.1174,0.0009,12,24.0,0,
