model,mean_k1,median_k1,mean_bulk,median_bulk
XGB default,0.12837438556062053,0.06294295450502349,0.7091054506054185,0.79157182580994
XGB Optuna,0.22075804315542574,0.1575567930009664,0.7468791217090842,0.8107420422409601
DCNv2,0.11738281320799025,0.00094073112001305,0.7450343394605221,0.805882274456343
RealMLP,0.19370258843473048,0.0889360611736459,0.7663535892131893,0.8206405143211801
ResNet,0.194066691152308,0.09449567404429444,0.7585704600601774,0.8207121122035583
TabM,0.226288410652046,0.1350165704032955,0.7731783334608854,0.8382217330784414
TabNet,0.1628363105642856,0.04305158199763755,0.7577417321033701,0.8269585864641609
