,URS,miRNA_name
559,URS00000C0D3F,hsa-miR-26a-1-3p
560,URS00005604C2,Hsa-Mir-138-P1_3p
561,URS0000EFB9DB,Hsa-Mir-2115_3p
562,URS000075D549,hsa-miR-2115-5p
563,URS0000EFCCF2,Hsa-Mir-425_3p
564,URS0000740D26,Hsa-Mir-425_5p
565,URS00002B2B5C,hsa-miR-191-3p
566,URS00005C2E31,hsa-miR-191-5p
567,URS000029979D,hsa-let-7g-3p
568,URS00004AFF8D,hsa-let-7g-5p
569,URS000077D324,Hsa-Mir-135-P1_3p
570,URS0000EFF321,Hsa-Mir-3136_3p
571,URS00000AF45F,hsa-miR-3136-5p
572,URS0000D54054,hsa-miR-6529-3p
573,URS000075A109,Hsa-Mir-6529_5p
574,URS00004AD914,hsa-miR-15b-5p
575,URS000045A9D7,hsa-miR-15b-3p
576,URS0000D54345,Hsa-Mir-551-P2_5p
577,URS000008C563,hsa-miR-551b-3p
578,URS00003E47B1,hsa-miR-28-5p
579,URS00001799A3,hsa-miR-28-3p
580,URS0000EFCFC4,Hsa-Mir-944_5p
581,URS000004203C,hsa-miR-944
582,URS00002E2DE7,hsa-miR-95-3p
583,URS0000EFF58C,Hsa-Mir-95_5p
584,URS0000EFC6B0,Hsa-Mir-3138_3p
585,URS0000EFDA9B,Hsa-Mir-3138_5p
586,URS00001BF5DD,Hsa-Mir-218-P1_5p
587,URS000075C92B,Hsa-Mir-574_5p
588,URS00001CF056,hsa-miR-574-3p
589,URS0000EFC130,Hsa-Mir-1269_5p
590,URS0000026A1D,hsa-miR-1269a
591,URS0000EFE0B9,Hsa-Mir-576_5p
592,URS0000EFBCCD,Hsa-Mir-576_3p
593,URS00001D5AA3,hsa-miR-367-3p
594,URS000075F0DB,hsa-miR-367-5p
595,URS000041E949,hsa-miR-302d-3p
596,URS00005FD395,Hsa-Mir-430-P4_5p
597,URS0000070CD2,hsa-miR-302a-3p
598,URS000075C59E,hsa-miR-302a-5p
599,URS000075B424,Hsa-Mir-430-P3_3p
600,URS0000EFC54B,Hsa-Mir-430-P3_5p
601,URS0000346991,hsa-miR-302b-3p
602,URS0000EFE0F8,Hsa-Mir-430-P1_5p
603,URS0000EFE07B,Hsa-Mir-577_5p
604,URS00007E44F9,Hsa-Mir-577_3p
605,URS00001D3D8E,Hsa-Mir-3140_3p
606,URS0000366959,hsa-miR-3140-5p
607,URS000036C820,hsa-miR-4637
608,URS0000EFCF00,Hsa-Mir-4637_5p
609,URS0000EFD3F0,Hsa-Mir-887_5p
610,URS0000EFBB41,Hsa-Mir-887_3p
611,URS00001B0D1E,hsa-miR-579-3p
612,URS0000EFC9FD,Hsa-Mir-579_5p
613,URS000075D9A5,hsa-miR-580-3p
614,URS00008E39A0,hsa-miR-580-5p
615,URS0000EFE90F,Hsa-Mir-34-P3c_3p
616,URS00001F5B39,hsa-miR-449a
617,URS0000EFC55F,Hsa-Mir-34-P3b_3p
618,URS0000EFED4E,Hsa-Mir-34-P3b_5p
619,URS0000D4F8DC,Hsa-Mir-34-P3a-v1_3p
620,URS0000EFEE17,Hsa-Mir-34-P3a-v1_5p
621,URS000075E517,hsa-miR-5687
622,URS0000EFC6D9,Hsa-Mir-5687_5p
623,URS0000EFC666,Hsa-Mir-582_3p
624,URS00000B0E50,hsa-miR-582-5p
625,URS0000759E9E,Hsa-Mir-874_3p
626,URS000073891E,hsa-miR-874-5p
627,URS00007E3F1F,Hsa-Mir-584_3p
628,URS000075EA0D,Hsa-Mir-584_5p
629,URS0000365CE3,Hsa-Mir-143_5p
630,URS00005C2A6D,hsa-miR-143-3p
631,URS0000527F89,hsa-miR-145-5p
632,URS000052F380,hsa-miR-145-3p
633,URS00004BAA8A,hsa-miR-378a-5p
634,URS00000451A1,hsa-miR-378a-3p
635,URS00001C85C7,hsa-miR-1294
636,URS0000EFBB88,Hsa-Mir-1294_3p
637,URS00001F9D6B,Hsa-Mir-146-P1_5p
638,URS0000EFD8AA,Hsa-Mir-146-P1_3p
639,URS00005812A9,hsa-miR-103a-1-5p
640,URS000077E5F6,Hsa-Mir-218-P4_3p
641,URS0000EFC269,Hsa-Mir-585_3p
642,URS000077ACC0,hsa-miR-585-5p
643,URS00001F61BA,hsa-miR-1271-5p
644,URS00001D4A78,hsa-miR-1271-3p
645,URS000075B7F3,Hsa-Mir-340_3p
646,URS0000007FBA,hsa-miR-340-5p
647,URS000075E023,hsa-miR-5683
648,URS0000EFDAEF,Hsa-Mir-5683_3p
649,URS00007E4606,Hsa-Mir-219-P3_5p
650,URS0000EFC313,Hsa-Mir-219-P1_3p
651,URS0000EFCB1B,Hsa-Mir-3934_5p
652,URS000075B5A4,hsa-miR-3934-3p
653,URS0000D50206,Hsa-Mir-1-P2_5p
654,URS000034B6F5,hsa-miR-206
655,URS000032BD73,hsa-miR-133b
656,URS0000527228,hsa-miR-30c-2-3p
657,URS0000065D58,hsa-miR-30a-3p
658,URS000016A0BF,Hsa-Mir-30-P1b_5p
659,URS0000EFE836,Hsa-Mir-3144-v2_3p
660,URS0000EFB9DA,Hsa-Mir-3145_3p
661,URS00002D2333,hsa-miR-3145-5p
662,URS000075C082,hsa-miR-1913
663,URS0000EFD951,Hsa-Mir-1913_5p
664,URS000055B190,hsa-miR-339-3p
665,URS000003FD55,hsa-miR-339-5p
666,URS00005F9DAE,hsa-miR-589-3p
667,URS0000EFCB62,Hsa-Mir-589_5p
668,URS0000269D6E,Hsa-Mir-3146_3p
669,URS0000EFC959,Hsa-Mir-3146_5p
670,URS00003BBF48,hsa-miR-148a-3p
671,URS00003E16E5,hsa-miR-148a-5p
672,URS000075A937,Hsa-Mir-196-P1_3p
673,URS000075D908,Hsa-Mir-196-P1_5p
674,URS0000EFBCFB,Hsa-Mir-550-P2b_3p
675,URS0000EFE39F,Hsa-Mir-550-P2a_5p
676,URS00003FFA6C,hsa-miR-550a-5p
677,URS00005CACA0,hsa-miR-590-5p
678,URS0000272039,hsa-miR-590-3p
679,URS000075C1A7,hsa-miR-653-3p
680,URS0000EFD2C8,Hsa-Mir-653_5p
681,URS0000EFDE36,Hsa-Mir-489-v2_3p
682,URS00004F9744,hsa-miR-25-3p
683,URS000053B290,Hsa-Mir-92-P2d_5p
684,URS000075DD98,Hsa-Mir-17-P4d_3p
685,URS0000149452,hsa-miR-93-5p
686,URS00003841F3,Hsa-Mir-17-P3c_3p
687,URS00004449AE,hsa-miR-106b-5p
688,URS000027A419,Hsa-Mir-592_3p
689,URS00004F507C,hsa-miR-592
690,URS00004CCDA3,hsa-miR-129-1-3p
691,URS000075B447,hsa-miR-182-3p
692,URS00001CC379,hsa-miR-182-5p
693,URS000075EC9A,Hsa-Mir-96-P1_3p
694,URS000016FF9C,hsa-miR-96-5p
695,URS000073E415,Hsa-Mir-96-P3-v1_3p
696,URS000075E13C,Hsa-Mir-96-P3-v2_5p
697,URS000075A30F,Hsa-Mir-335_5p
698,URS00005092C2,hsa-miR-335-3p
699,URS00002F4D78,hsa-miR-29a-3p
700,URS000013C21E,Hsa-Mir-29-P2b_5p
701,URS00001123BD,hsa-miR-29b-1-5p
702,URS00004556E5,hsa-miR-490-5p
703,URS000075B0CE,Hsa-Mir-490_3p
704,URS00002E6F0C,Hsa-Mir-671_5p
705,URS00002B7450,hsa-miR-671-3p
706,URS000075DD05,Hsa-Mir-153-P1_5p
707,URS000028FD1A,hsa-miR-598-3p
708,URS000075F0D1,hsa-miR-598-5p
709,URS0000406128,Hsa-Mir-383-v1_3p
710,URS00000C5969,hsa-miR-383-5p
711,URS00003B59DF,hsa-miR-3622a-5p
712,URS0000086C68,Hsa-Mir-3622_3p
713,URS0000EFD2C9,Hsa-Mir-486_3p
714,URS00004BF1DC,hsa-miR-486-5p
715,URS000011C106,hsa-miR-4661-5p
716,URS00001D68C9,hsa-miR-4661-3p
717,URS0000EFE67F,Hsa-Mir-599_3p
718,URS00007E43AB,Hsa-Mir-599_5p
719,URS0000EFF36A,Hsa-Mir-875_3p
720,URS0000312ECD,hsa-miR-875-5p
721,URS00005140D0,hsa-miR-4662a-5p
722,URS0000215483,hsa-miR-4662a-3p
723,URS00002152A8,hsa-miR-30b-3p
724,URS00005165DA,hsa-miR-30b-5p
725,URS00004B2A47,hsa-miR-30d-3p
726,URS00004150D5,Hsa-Mir-30-P1a_5p
727,URS00007E48AA,Hsa-Mir-28-P2_3p
728,URS000028BBF9,Hsa-Mir-151_5p
729,URS000044EF2B,hsa-miR-4664-3p
730,URS00005A06DD,hsa-miR-4664-5p
731,URS00002391F4,Hsa-Mir-491_5p
732,URS0000202B65,hsa-miR-491-3p
733,URS00002B9AD0,Hsa-Mir-31_3p
734,URS00007E37C8,Hsa-Mir-31_5p
735,URS00002E8D60,hsa-miR-876-3p
736,URS0000EFC64B,Hsa-Mir-876-v1_5p
737,URS0000D50DD3,Hsa-Mir-873-v1_3p
738,URS0000EFE129,Hsa-Mir-873-v2_5p
739,URS000059A01D,hsa-miR-204-3p
740,URS000029D9F1,hsa-miR-204-5p
741,URS000028D811,hsa-miR-7-1-3p
742,URS00003B7674,hsa-let-7f-5p
743,URS000075A53C,Hsa-Let-7-P2b1_3p
744,URS00000A07C1,hsa-let-7d-5p
745,URS00007E4F2D,Hsa-Let-7-P2c1_3p
746,URS000055BB1F,hsa-miR-23b-5p
747,URS00004E57E7,hsa-miR-23b-3p
748,URS000075EA7B,Hsa-Mir-27-P2_5p
749,URS000059311D,hsa-miR-27b-3p
750,URS0000232BE1,Hsa-Mir-24-P2_5p
751,URS000039DEB8,Hsa-Mir-32_3p
752,URS00004C47FB,hsa-miR-32-5p
753,URS00000AD002,hsa-miR-455-5p
754,URS00007E4FC7,Hsa-Mir-455-v1_3p
755,URS0000241987,hsa-miR-181a-2-3p
756,URS000009F727,Hsa-Mir-181-P2b_3p
757,URS0000029EBD,hsa-miR-199b-5p
758,URS00004ACAAA,hsa-miR-219a-2-3p
759,URS0000527B00,hsa-miR-219b-5p
760,URS00006008F2,Hsa-Mir-219-P2_5p
761,URS0000603CA3,hsa-miR-219b-3p
762,URS0000EFC9F6,Hsa-Mir-126-P2-v3_5p
763,URS00007E4C77,Hsa-Mir-126-P2-v3_3p
764,URS0000EFC7BD,Hsa-Mir-3690_5p
765,URS0000EFD442,Hsa-Mir-3690_3p
766,URS000049FAE8,hsa-miR-651-5p
767,URS000075D3EF,hsa-miR-651-3p
768,URS0000170CF4,hsa-miR-221-3p
769,URS00003713CD,Hsa-Mir-221-P2a_5p
770,URS00005D117C,Hsa-Mir-221-P1a_3p
771,URS0000D507CB,Hsa-Mir-221-P1a_5p
772,URS00004E8341,hsa-miR-532-5p
773,URS00004B4B85,hsa-miR-532-3p
774,URS00000DE63C,Hsa-Mir-188-P2_5p
775,URS000061AB33,hsa-miR-188-3p
776,URS0000D4F69C,Hsa-Mir-362-P3b_5p
777,URS0000173A33,Hsa-Mir-362-P4_5p
778,URS00003A19A3,hsa-miR-362-3p
779,URS0000EFED03,Hsa-Mir-362-P5_5p
780,URS0000EFCE2E,Hsa-Mir-362-P5_3p
781,URS0000EFED4F,Hsa-Mir-362-P3b_3p
782,URS00007E4104,Hsa-Mir-188-P3_5p
783,URS0000206217,Hsa-Mir-188-P3_3p
784,URS0000D4FEC2,Hsa-Mir-362-P6_5p
785,URS0000D5601B,Hsa-Mir-362-P6_3p
786,URS000075A71C,Hsa-Let-7-P2b3_3p
787,URS00004E0808,hsa-miR-98-5p
788,URS00004747E1,Hsa-Let-7-P2a3_3p
789,URS00000D5CE2,Hsa-Mir-223-v1_5p
790,URS00007E3675,Hsa-Mir-223-v1_3p
791,URS000075F0C5,hsa-miR-676-5p
792,URS00004407DC,hsa-miR-676-3p
793,URS000075B4AD,Hsa-Mir-95-P2_3p
794,URS0000D50E93,Hsa-Mir-421-P2_5p
795,URS00001EFEC1,hsa-miR-374b-3p
796,URS000033F45D,hsa-miR-374b-5p
797,URS0000285DCB,hsa-miR-374a-3p
798,URS000029E173,hsa-miR-374a-5p
799,URS0000EFF3EA,Hsa-Mir-325_3p
800,URS0000EFE637,Hsa-Mir-325_5p
801,URS00002E131D,Hsa-Mir-361-v1_3p
802,URS00000CF1D2,hsa-miR-361-5p
803,URS0000EFD611,Hsa-Mir-652_5p
804,URS0000013DD8,hsa-miR-652-3p
805,URS0000D51A0B,hsa-miR-1912-5p
806,URS00004A9320,hsa-miR-1912-3p
807,URS00003205EB,Hsa-Mir-1264_5p
808,URS0000D4F1F2,Hsa-Mir-1264_3p
809,URS00003DF3AE,hsa-miR-1298-5p
810,URS00007E35B1,Hsa-Mir-1298_3p
811,URS00007455B8,hsa-miR-1911-5p
812,URS0000EFC93D,Hsa-Mir-1911_3p
813,URS00002DE3D0,Hsa-Mir-448_5p
814,URS0000EFBC14,Hsa-Mir-448_3p
815,URS00001012BC,hsa-miR-766-3p
816,URS0000EFD057,Hsa-Mir-766_5p
817,URS000038B599,hsa-miR-363-3p
818,URS0000772287,Hsa-Mir-92-P2c_5p
819,URS000075C4FE,Hsa-Mir-92-P1c_5p
820,URS0000D53D5D,Hsa-Mir-19-P2c_5p
821,URS0000EFF088,Hsa-Mir-17-P4c_3p
822,URS00002B3783,hsa-miR-20b-5p
823,URS0000EFE54C,Hsa-Mir-17-P2c_3p
824,URS0000EFD72F,Hsa-Mir-17-P2c_5p
825,URS0000EFDCE8,Hsa-Mir-17-P1c_3p
826,URS00003FE4D4,hsa-miR-106a-5p
827,URS0000EFE047,Hsa-Mir-450-P3_3p
828,URS0000D54CB9,Hsa-Mir-450-P3_5p
829,URS000040BEF4,hsa-miR-450a-1-3p
830,URS00003E5ECC,hsa-miR-450a-5p
831,URS000075CA21,hsa-miR-450a-2-3p
832,URS00004F859B,hsa-miR-542-3p
833,URS0000EFC181,Hsa-Mir-542-v2_5p
834,URS00003C11EC,hsa-miR-503-3p
835,URS00000F6E49,hsa-miR-503-5p
836,URS0000D5492C,Hsa-Mir-15-P1c_3p
837,URS00000F0F49,hsa-miR-424-5p
838,URS000075BA4B,hsa-miR-934
839,URS0000EFE1BF,Hsa-Mir-934_3p
840,URS0000EFE66B,Hsa-Mir-504-v1_3p
841,URS00005CC20C,hsa-miR-504-5p
842,URS0000D51824,Hsa-Mir-505-v1_3p
843,URS00004388BE,Hsa-Mir-505-v1_5p
844,URS000075EC6F,hsa-miR-892c-3p
845,URS000075BDDB,Hsa-Mir-506-P6e_5p
846,URS0000EFC4D7,Hsa-Mir-506-P6d_3p
847,URS0000EFC431,Hsa-Mir-506-P6d_5p
848,URS0000759E8F,hsa-miR-888-3p
849,URS0000EFEC55,Hsa-Mir-506-P6c_5p
850,URS0000EFDCF7,Hsa-Mir-506-P6b_3p
851,URS0000EFF367,Hsa-Mir-506-P6b_5p
852,URS000075A42A,hsa-miR-892b
853,URS0000EFBBB4,Hsa-Mir-506-P6a_5p
854,URS00001A4ABF,hsa-miR-513c-3p
855,URS0000EFBEEB,Hsa-Mir-506-P5c_5p
856,URS0000EFCEDA,Hsa-Mir-506-P5b_3p
857,URS0000284586,hsa-miR-513b-5p
858,URS00004BCE9B,hsa-miR-513a-3p
859,URS0000EFEAD9,Hsa-Mir-506-P5a1_5p
860,URS000009A71B,Hsa-Mir-506-P4_3p
861,URS000051D911,hsa-miR-506-5p
862,URS00005E6F45,hsa-miR-507
863,URS0000EFE544,Hsa-Mir-506-P2b_5p
864,URS000044FE6A,hsa-miR-508-3p
865,URS000021202F,hsa-miR-508-5p
866,URS000002569A,hsa-miR-514b-3p
867,URS00003AA851,hsa-miR-514b-5p
868,URS00002E87E8,Hsa-Mir-506-P1c2_3p
869,URS0000EFEE31,Hsa-Mir-506-P1c3_5p
870,URS0000465F56,hsa-miR-509-3-5p
871,URS000076A277,Hsa-Mir-506-P1b_3p
872,URS00001C5D53,Hsa-Mir-506-P1b_5p
873,URS00001AADF2,hsa-miR-514a-3p
874,URS000076CC56,Hsa-Mir-506-P1a2_5p
875,URS000075C77C,hsa-miR-2114-5p
876,URS000075B406,Hsa-Mir-2114_3p
877,URS0000D547AD,Hsa-Mir-224_3p
878,URS0000D52200,Hsa-Mir-224_5p
879,URS00001F7A91,Hsa-Mir-452-v1_3p
880,URS0000D523DA,Hsa-Mir-452-v1_5p
881,URS0000D52745,Hsa-Mir-105-P2_3p
882,URS0000D4F80A,Hsa-Mir-105-P2_5p
883,URS000012A1DD,hsa-miR-200b-5p
