,URS,miRNA_name
128,URS00002C7C59,hsa-miR-34c-3p
129,URS00002DABEA,hsa-miR-125b-1-3p
130,URS0000209905,hsa-miR-125b-5p
131,URS00000157F5,hsa-let-7a-2-3p
132,URS0000416056,hsa-let-7a-5p
133,URS00001A405B,hsa-miR-100-3p
134,URS000040D674,hsa-miR-100-5p
135,URS0000346F1C,hsa-miR-200c-5p
136,URS0000192F9C,hsa-miR-200c-3p
137,URS000055E199,hsa-miR-141-5p
138,URS000075EA99,Hsa-Mir-8-P2b_3p
139,URS00007E4955,Hsa-Mir-196-P4_5p
140,URS0000D52528,Hsa-Mir-196-P4_3p
141,URS00004D8280,hsa-miR-615-5p
142,URS000075AA7E,Hsa-Mir-615_3p
143,URS0000113EBB,Hsa-Mir-148-P4_5p
144,URS0000521626,hsa-miR-148b-3p
145,URS0000EFED1F,Hsa-Mir-616_3p
146,URS0000EFE401,Hsa-Mir-616_5p
147,URS000015D23B,hsa-miR-26a-2-3p
148,URS000019B0F7,hsa-miR-26a-5p
149,URS00004023EA,hsa-let-7i-5p
150,URS0000D4F78B,Hsa-Let-7-P2c2_3p
151,URS000075C0BE,hsa-miR-1252-5p
152,URS0000EFD036,Hsa-Mir-1252_3p
153,URS00000AEAF5,hsa-miR-3059-3p
154,URS0000440EED,Hsa-Mir-3059_5p
155,URS00001597DC,hsa-miR-331-5p
156,URS00003DDE27,hsa-miR-331-3p
157,URS00002B4E74,hsa-miR-1251-5p
158,URS0000113463,hsa-miR-1251-3p
159,URS00000DF6D0,hsa-miR-135a-5p
160,URS000075AB6F,hsa-miR-135a-2-3p
161,URS000075E54C,hsa-miR-2276-5p
162,URS000075A253,hsa-miR-2276-3p
163,URS000034AA12,Hsa-Mir-15-P2a_3p
164,URS00001C94E0,hsa-miR-15a-3p
165,URS00003D1AE3,hsa-miR-15a-5p
166,URS00002075FA,hsa-miR-17-5p
167,URS0000D51877,Hsa-Mir-17-P1a_3p
168,URS000035CC3E,hsa-miR-18a-5p
169,URS00004131FE,hsa-miR-18a-3p
170,URS0000759F2F,Hsa-Mir-19-P1a_5p
171,URS000006FDD4,hsa-miR-19a-3p
172,URS0000574A2C,hsa-miR-20a-5p
173,URS000075EA5F,Hsa-Mir-17-P4a_3p
174,URS00001B9622,hsa-miR-19b-1-5p
175,URS000013D17D,hsa-miR-19b-3p
176,URS00001DA458,hsa-miR-92a-1-5p
177,URS00003768C5,hsa-miR-92a-3p
178,URS00000E5433,hsa-miR-208a-3p
179,URS000005FEE9,hsa-miR-208a-5p
180,URS000034979B,hsa-miR-208b-3p
181,URS000075AC54,hsa-miR-208b-5p
182,URS0000EFD076,Hsa-Mir-624_3p
183,URS000031BC7D,hsa-miR-624-5p
184,URS000075D7E6,hsa-miR-5586-3p
185,URS0000EFE321,Hsa-Mir-5586_5p
186,URS0000D54E39,Hsa-Mir-3173_3p
187,URS0000EFE1DA,Hsa-Mir-3173_5p
188,URS0000D516DD,Hsa-Mir-342_5p
189,URS000075B70E,Hsa-Mir-342_3p
190,URS000005D4F5,hsa-miR-345-5p
191,URS0000384659,hsa-miR-345-3p
192,URS0000EFD7FA,Hsa-Mir-770_5p
193,URS0000EFF157,Hsa-Mir-770_3p
194,URS0000077AED,hsa-miR-493-5p
195,URS000075AECC,Hsa-Mir-493_3p
196,URS0000EFD366,Hsa-Mir-337-as_3p
197,URS0000306C70,hsa-miR-337-5p
198,URS00005304F3,Hsa-Mir-337-as_5p
199,URS0000564D66,hsa-miR-337-3p
200,URS000043908D,hsa-miR-431-5p
201,URS0000086A4D,hsa-miR-431-3p
202,URS000025F226,hsa-miR-433-5p
203,URS000024DFCE,hsa-miR-433-3p
204,URS000054939C,Hsa-Mir-127_5p
205,URS00001E3DAA,hsa-miR-127-3p
206,URS00001C406A,hsa-miR-432-5p
207,URS00007E4556,Hsa-Mir-432_3p
208,URS0000147F3E,Hsa-Mir-136-v2_5p
209,URS000010D13C,Hsa-Mir-136-v2_3p
210,URS000075E3E2,hsa-miR-370-5p
211,URS00004900F1,hsa-miR-370-3p
212,URS000060A1F4,hsa-miR-379-5p
213,URS00003E729D,Hsa-Mir-154-P1_3p
214,URS00000C5BAA,hsa-miR-411-5p
215,URS0000330D08,Hsa-Mir-154-P2-v1_3p
216,URS000017DBB8,hsa-miR-299-5p
217,URS00003B1F5C,hsa-miR-299-3p
218,URS0000310E32,Hsa-Mir-154-P4_5p
219,URS000021AC0D,Hsa-Mir-154-P4_3p
220,URS000075B10C,Hsa-Mir-154-P5_5p
221,URS00003E5E03,hsa-miR-1197
222,URS000075EA1B,Hsa-Mir-154-P6a-v1_5p
223,URS000075D468,Hsa-Mir-154-P6a-v2_3p
224,URS00007E3FDA,Hsa-Mir-154-P7_5p
225,URS000024B619,hsa-miR-758-3p
226,URS0000D50C1E,Hsa-Mir-154-P8b_5p
227,URS00004C46CF,hsa-miR-329-3p
228,URS000075CDF9,hsa-miR-494-5p
229,URS0000031935,Hsa-Mir-154-P9_3p
230,URS00007E4896,Hsa-Mir-154-P10_5p
231,URS000075C9E0,Hsa-Mir-154-P10_3p
232,URS0000EFDB8C,Hsa-Mir-154-P11_5p
233,URS000019F055,hsa-miR-543
234,URS00004FFC5A,hsa-miR-495-5p
235,URS000005A8ED,hsa-miR-495-3p
236,URS0000006BE3,Hsa-Mir-376-P2_5p
237,URS00005E651E,hsa-miR-376c-3p
238,URS0000EFC5CA,Hsa-Mir-376-P3_5p
239,URS000041E11D,hsa-miR-376a-3p
240,URS00002B0B46,hsa-miR-654-5p
241,URS0000EFC56F,Hsa-Mir-154-P14_3p
242,URS000075E4B0,Error
243,URS000032A93F,hsa-miR-376a-5p
244,URS00004F1E1F,Hsa-Mir-154-P16b_5p
245,URS000016E46F,hsa-miR-1185-1-3p
246,URS0000484751,hsa-miR-1185-2-3p
247,URS00004E637D,Hsa-Mir-154-P17_5p
248,URS00001FFA8C,hsa-miR-381-3p
249,URS000075B2DC,hsa-miR-487b-5p
250,URS000015B295,hsa-miR-487b-3p
251,URS0000EFED7D,Error
252,URS0000EFF2FB,Hsa-Mir-154-P19_3p
253,URS000075AAF0,hsa-miR-889-5p
254,URS000045B99E,hsa-miR-889-3p
255,URS0000EFEE85,Hsa-Mir-544_5p
256,URS000075CDE1,Hsa-Mir-544_3p
257,URS000075AA28,hsa-miR-655-5p
258,URS00005E1A16,hsa-miR-655-3p
259,URS000075BB46,hsa-miR-487a-5p
260,URS000016FD1B,hsa-miR-487a-3p
261,URS000035E174,hsa-miR-382-5p
262,URS000020AAEE,Hsa-Mir-154-P24_3p
263,URS0000272A92,hsa-miR-134-5p
264,URS000075A6A6,Hsa-Mir-134_3p
265,URS00001DB0F9,Hsa-Mir-154-P25_5p
266,URS000006372A,hsa-miR-485-3p
267,URS000075D04C,hsa-miR-323b-5p
268,URS0000D5669E,Hsa-Mir-154-P6b_3p
269,URS000008931A,hsa-miR-154-5p
270,URS00000C0921,hsa-miR-154-3p
271,URS000003BF62,hsa-miR-496
272,URS000036BEF1,hsa-miR-377-5p
273,URS000007F792,hsa-miR-377-3p
274,URS0000076E54,hsa-miR-541-5p
275,URS000075A3AC,hsa-miR-541-3p
276,URS0000081E1F,hsa-miR-409-5p
277,URS00002915C8,hsa-miR-409-3p
278,URS0000321A1A,hsa-miR-412-5p
279,URS0000EFD7CA,Hsa-Mir-154-P31_3p
280,URS00000B75C5,Hsa-Mir-154-P32_5p
281,URS0000442B0D,hsa-miR-369-3p
282,URS00002233F4,hsa-miR-410-5p
283,URS000047E765,hsa-miR-410-3p
284,URS000075DD8D,hsa-miR-656-5p
285,URS0000202460,hsa-miR-656-3p
286,URS00004104C4,Hsa-Mir-1247_3p
287,URS000057DF36,hsa-miR-1247-5p
288,URS00007E4AE6,Hsa-Mir-203-v1_5p
289,URS00004DA9DB,hsa-miR-203a-3p
290,URS0000044FD7,hsa-miR-211-3p
291,URS00001A3555,hsa-miR-211-5p
292,URS0000EFEB4F,Hsa-Mir-3942_3p
293,URS0000116426,Hsa-Mir-3942_5p
294,URS0000EFC747,Hsa-Mir-147-v1_5p
295,URS0000424278,Hsa-Mir-147-v1_3p
296,URS0000759C7A,hsa-miR-1266-3p
297,URS00005FDCD1,hsa-miR-1266-5p
298,URS0000D561A8,Hsa-Mir-628_3p
299,URS00004B83FE,hsa-miR-628-5p
300,URS0000EFE306,Hsa-Mir-2116_3p
301,URS00000BA274,hsa-miR-2116-5p
302,URS000075AC6E,Hsa-Mir-190-P1_5p
303,URS000075E84C,Hsa-Mir-190-P1_3p
304,URS00004065BA,hsa-miR-629-3p
305,URS0000EFBAFF,Hsa-Mir-629_5p
306,URS0000759A11,Hsa-Mir-184_5p
307,URS0000543D82,hsa-miR-184
308,URS0000EFECCA,Hsa-Mir-1276_3p
309,URS0000EFE32B,Hsa-Mir-1276_5p
310,URS0000161522,hsa-miR-7-5p
311,URS0000572E11,hsa-miR-7-2-3p
312,URS0000243FF1,hsa-miR-3174
313,URS0000EFF2C0,Hsa-Mir-3174_3p
314,URS00000E1DC5,hsa-miR-193b-5p
315,URS00000AA464,hsa-miR-193b-3p
316,URS000031B6ED,hsa-miR-365a-5p
317,URS00003E7283,hsa-miR-365a-3p
318,URS00004196F5,Hsa-Mir-3180-P2_5p
319,URS00002C4233,hsa-miR-3180-3p
320,URS000040780F,hsa-miR-138-5p
