model,model_label,n_targets,mean_ridge_coef,median_ridge_coef,std_ridge_coef,pct_negative_coef,mean_abs_share,median_abs_share
catboost_optuna,CatBoost Optuna,48,0.36180076057755467,0.3382252179316054,0.22507215999746039,4.166666666666666,0.37347832542696174,0.3620896847319259
tabm,TabM,48,0.35759413224977493,0.34833040489054856,0.21719833681511466,4.166666666666666,0.37883503249071465,0.3597997216715123
resnet,ResNet,48,0.2105853122645682,0.24983914701446783,0.17599481304866801,12.5,0.2476866420823236,0.2705367199270515
