target,fallback_best_solo,best_solo_model,ridge_intercept,ridge_alpha,tune_r2,coef_catboost_optuna,effective_catboost_optuna,coef_tabm,effective_tabm,coef_resnet,effective_resnet,abs_share_catboost_optuna,effective_share_catboost_optuna,abs_share_tabm,effective_share_tabm,abs_share_resnet,effective_share_resnet
hsa-mir-1180-3p,False,,0.2789893941208881,412.4626382901356,0.3192076990510203,0.4970811621431729,0.4970811621431729,0.3024141429618032,0.3024141429618032,0.1619996283068153,0.1619996283068153,0.5169878122803189,0.5169878122803189,0.3145249469892782,0.3145249469892782,0.16848724073040303,0.16848724073040303
hsa-mir-1185-1-3p,False,,0.05085005791323627,412.4626382901356,0.28859670390928627,0.28474934124085965,0.28474934124085965,0.3947350705820303,0.3947350705820303,0.2511832483010546,0.2511832483010546,0.30596243260772304,0.30596243260772304,0.4241418150593739,0.4241418150593739,0.26989575233290314,0.26989575233290314
hsa-mir-124-3p,False,,0.04268403085280581,0.01,0.14244157782584266,-0.11807749730791552,-0.11807749730791552,0.9442524613919818,0.9442524613919818,-0.01241920890851449,-0.01241920890851449,0.10986516748895722,0.10986516748895722,0.8785793837767578,0.8785793837767578,0.01155544873428501,0.01155544873428501
hsa-mir-125a-3p,False,,0.041400825161131305,24.244620170823307,0.05300915281665031,0.3498121785623854,0.3498121785623854,0.03825044269267074,0.03825044269267074,0.59772482119392,0.59772482119392,0.35485558397188804,0.35485558397188804,0.03880191717359046,0.03880191717359046,0.6063424988545215,0.6063424988545215
hsa-mir-125a-5p,False,,-0.0731291293651104,1.4251026703029994,0.5906899346600836,0.3381325672448674,0.3381325672448674,0.7635955826671494,0.7635955826671494,-0.09935789750654814,-0.09935789750654814,0.2815223505190149,0.2815223505190149,0.6357542694866098,0.6357542694866098,0.08272337999437523,0.08272337999437523
hsa-mir-129-1-3p,False,,0.08885466550314969,17.01254279852589,0.0632597737452174,0.30558914824356403,0.30558914824356403,0.5380449050263939,0.5380449050263939,0.025657728458381154,0.025657728458381154,0.3515380619795888,0.3515380619795888,0.6189462690612867,0.6189462690612867,0.029515668959124483,0.029515668959124483
hsa-mir-135a-5p,False,,0.015319891065694424,289.4266124716752,0.5233215172025754,0.20853212836696675,0.20853212836696675,0.3842942372233694,0.3842942372233694,0.3634050189677916,0.3634050189677916,0.2180770593127195,0.2180770593127195,0.40188415003859224,0.40188415003859224,0.3800387906486882,0.3800387906486882
hsa-mir-138-5p,False,,-0.03196159878077598,837.6776400682924,0.7247985645848752,0.35998089274142536,0.35998089274142536,0.35843713939547384,0.35843713939547384,0.2693721372312199,0.2693721372312199,0.3644305277624924,0.3644305277624924,0.362867692462219,0.362867692462219,0.27270177977528864,0.27270177977528864
hsa-mir-142-3p,False,,-0.0025106396359015903,412.4626382901356,0.9267054364549414,0.25448991528630416,0.25448991528630416,0.40020094763706726,0.40020094763706726,0.35908019840851085,0.35908019840851085,0.25103292547328965,0.25103292547328965,0.3947646198455175,0.3947646198455175,0.35420245468119294,0.35420245468119294
hsa-mir-15a-3p,False,,-0.0005482605108481087,8.376776400682923,0.011238995853295242,0.4664918106804266,0.4664918106804266,0.4578580432561084,0.4578580432561084,-0.00855003108746634,-0.00855003108746634,0.5000448795943682,0.5000448795943682,0.49079011650251064,0.49079011650251064,0.009165003903121251,0.009165003903121251
hsa-mir-18a-5p,False,,-0.42225424217311947,70.1703828670383,0.8817625038703922,0.32302290244643345,0.32302290244643345,0.3162557056037879,0.3162557056037879,0.39760265739267825,0.39760265739267825,0.31153316509046536,0.31153316509046536,0.3050066735159889,0.3050066735159889,0.3834601613935458,0.3834601613935458
hsa-mir-200c-3p,False,,0.32454860369027116,0.01,0.1350117545031022,0.31826410631568447,0.31826410631568447,0.4793311280032182,0.4793311280032182,0.12030052062608705,0.12030052062608705,0.3467323000472513,0.3467323000472513,0.5222064983097616,0.5222064983097616,0.13106120164298696,0.13106120164298696
hsa-mir-20a-5p,False,,-0.23173622217252188,34.551072945922215,0.945835290707351,0.4227098089259595,0.4227098089259595,0.3171848979489222,0.3171848979489222,0.2754131632869566,0.2754131632869566,0.41633658257625866,0.41633658257625866,0.31240267831112495,0.31240267831112495,0.27126073911261633,0.27126073911261633
hsa-mir-22-3p,False,,0.7865807623320036,142.51026703029993,0.4979232039983946,0.4849114562626095,0.4849114562626095,0.08468689737708529,0.08468689737708529,0.34789421509850016,0.34789421509850016,0.5285181295032136,0.5285181295032136,0.09230254310784566,0.09230254310784566,0.37917932738894067,0.37917932738894067
hsa-mir-22-5p,False,,0.794589752544768,1193.776641714438,0.4006577572537565,0.3679981820140912,0.3679981820140912,0.26755080261875824,0.26755080261875824,0.26432764926795627,0.26432764926795627,0.4089429241193699,0.4089429241193699,0.2973194241737036,0.2973194241737036,0.2937376517069265,0.2937376517069265
hsa-mir-25-3p,False,,-0.10919307373390552,8.376776400682923,0.6502410780988002,0.3985367718159991,0.3985367718159991,0.3618294991766688,0.3618294991766688,0.24849504572788106,0.24849504572788106,0.3950362306600288,0.3950362306600288,0.3586513757439411,0.3586513757439411,0.24631239359603013,0.24631239359603013
hsa-mir-26a-5p,False,,-0.6801111978056298,0.34551072945922195,0.7678885993706565,0.2758821125948524,0.2758821125948524,0.7295945308022298,0.7295945308022298,0.04188382333008288,0.04188382333008288,0.2634070325920742,0.2634070325920742,0.6966030836375721,0.6966030836375721,0.03998988377035384,0.03998988377035384
hsa-mir-27a-5p,False,,0.15499946304782775,412.4626382901356,0.4584801405964475,0.43877392569100804,0.43877392569100804,0.31671583757056754,0.31671583757056754,0.23796823484997426,0.23796823484997426,0.44166328775355085,0.44166328775355085,0.3188014371746044,0.3188014371746044,0.2395352750718447,0.2395352750718447
